n,Левенштейн рекурсивно,Левенштейн рекурсивно матрицей,Левенштейн матрицей,Левенштейн-Дамерау рекурсивно,Левенштейн-Дамерау матрицей,Левенштейн-Дамерау рекурсивно матрицей
1,0.002,0.004,0.003,0.002,0.003,0.004
2,0.031,0.012,0.006,0.013,0.007,0.012
3,0.042,0.018,0.008,0.044,0.011,0.019
4,0.213,0.028,0.014,0.223,0.019,0.029
5,1.062,0.043,0.017,1.104,0.025,0.038
6,4.51,0.04,0.018,4.782,0.023,0.045
